feature,feature_name,max_abs_weight_score
F18,feature_18,0.6787278652191162
F45,feature_45,0.5812327861785889
F68,feature_68,0.5498902201652527
F23,feature_23,0.5245267748832703
F64,feature_64,0.5101743340492249
F63,feature_63,0.5058571100234985
F13,feature_13,0.49378442764282227
F48,feature_48,0.4922383427619934
F17,feature_17,0.47497597336769104
F60,feature_60,0.471658855676651
F24,feature_24,0.4701463282108307
F16,feature_16,0.44947412610054016
F22,feature_22,0.4408588409423828
F3,feature_3,0.4360383450984955
F32,feature_32,0.4244009554386139
F41,feature_41,0.4228464961051941
