feature,feature_name,max_abs_weight_score
F18,feature_19,1.164150595664978
F1,feature_1,0.9878041744232178
F24,feature_25,0.9797009825706482
F63,feature_64,0.9792547225952148
F2,feature_2,0.9408832788467407
F46,feature_47,0.9317005276679993
F67,feature_68,0.9239304661750793
F11,feature_12,0.9001370668411255
F32,feature_33,0.9001108407974243
F54,feature_55,0.8673825263977051
F9,feature_10,0.8646419048309326
F49,feature_50,0.8576892614364624
F48,feature_49,0.8530762791633606
F27,feature_28,0.8387290835380554
F14,feature_15,0.7915399074554443
F53,feature_54,0.7890216112136841
F15,feature_16,0.7825122475624084
F40,feature_41,0.7762770056724548
F29,feature_30,0.7727110981941223
F28,feature_29,0.7707447409629822
F39,feature_40,0.7699776291847229
F36,feature_37,0.7606155276298523
F59,feature_60,0.7586724758148193
F66,feature_67,0.7497314214706421
F35,feature_36,0.7491489052772522
F44,feature_45,0.736828625202179
F10,feature_11,0.7334194183349609
F34,feature_35,0.7146297097206116
F8,feature_9,0.71455317735672
F20,feature_21,0.6964670419692993
F23,feature_24,0.6930282115936279
F55,feature_56,0.6896870136260986
F52,feature_53,0.6763007044792175
F33,feature_34,0.6646422743797302
