feature,feature_name,max_abs_weight_score
F5,feature_6,1.1952698230743408
F25,feature_26,1.179605484008789
F28,feature_29,1.1561862230300903
F55,feature_56,1.1191385984420776
F1,feature_1,1.1168781518936157
F18,feature_19,1.1106173992156982
F67,feature_68,1.1000808477401733
F44,feature_45,1.0410526990890503
F13,feature_14,0.9383034706115723
F61,feature_62,0.917750895023346
F23,feature_24,0.8958579301834106
F56,feature_57,0.8586668372154236
F36,feature_37,0.8345146775245667
F60,feature_61,0.8186244964599609
F54,feature_55,0.8119586706161499
F21,feature_22,0.8088493943214417
F40,feature_41,0.7797558307647705
F22,feature_23,0.7678208947181702
F33,feature_34,0.7648217678070068
F39,feature_40,0.7420156598091125
F31,feature_32,0.7415117025375366
F45,feature_46,0.7407786250114441
F53,feature_54,0.7105780243873596
F10,feature_11,0.71001136302948
F48,feature_49,0.7061785459518433
F2,feature_2,0.6982445120811462
F6,feature_7,0.6927523016929626
F27,feature_28,0.6920192241668701
F49,feature_50,0.6816200017929077
F7,feature_8,0.6766848564147949
F59,feature_60,0.6620826721191406
F52,feature_53,0.6620208024978638
F14,feature_15,0.6587195992469788
F47,feature_48,0.6568257808685303
F12,feature_13,0.6438885927200317
F42,feature_43,0.6369983553886414
F32,feature_33,0.6268524527549744
F51,feature_52,0.6242886185646057
F62,feature_63,0.6195701360702515
F46,feature_47,0.617610514163971
F57,feature_58,0.6164421439170837
