feature,feature_name,max_abs_weight_score
F67,feature_68,1.1046391725540161
F1,feature_1,1.0968165397644043
F35,feature_36,1.0885206460952759
F6,feature_7,1.0508373975753784
F51,feature_52,0.9541988968849182
F55,feature_56,0.9330920577049255
F44,feature_45,0.9307734370231628
F47,feature_48,0.8448680639266968
F18,feature_19,0.8375640511512756
F49,feature_50,0.8310980200767517
F15,feature_16,0.820507287979126
F28,feature_29,0.8127104640007019
F59,feature_60,0.7688310146331787
F63,feature_64,0.7613504528999329
F54,feature_55,0.7590864300727844
F17,feature_18,0.7538955807685852
F33,feature_34,0.7509158849716187
F46,feature_47,0.7228464484214783
F5,feature_6,0.7210943102836609
F39,feature_40,0.7186089754104614
F11,feature_12,0.7158803939819336
